car,MPO,Cylinder,Displacement,Horsepower,weight,Accelarate,Model,origin
Ford,20.7,6,1823,247,3374,15.5,76,Japan
Jaguar,17.4,4,1793,186,2196,15.9,73,US
Audi,21.3,8,1943,265,3527,8.3,80,India
Hyundai,11.5,6,4498,196,3317,9.9,77,Germany
Tata,18,6,2968,140,2706,7.2,74,US
Kia,15.7,6,2659,155,3156,10.2,76,US
Toyota,16.9,8,3148,102,3974,15.5,79,South Korea
Ford,19.1,8,4693,150,1800,12.7,72,South Korea
BMW,17.5,6,3801,221,1818,10.8,76,South Korea
Tata,18.1,6,3268,130,2383,11.1,80,India
Audi,17.3,4,3801,130,2255,7,80,South Korea
Toyota,16.1,4,3644,167,3836,10.3,77,US
Audi,21.6,6,3872,97,2932,14.1,74,South Korea
Tata,10.2,4,1304,255,4292,17.7,73,Japan
Kia,19,6,3439,112,3752,16.3,77,South Korea
Toyota,18.5,4,1216,238,4449,7.3,77,India
Audi,20.7,4,4391,236,3950,16.9,72,Japan
BMW,19,6,1592,155,2787,15.6,75,US
Jaguar,22.4,8,1624,246,2319,15.6,74,US
